%"avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))"
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
-0.25055,-0.25055,6242.5,6242.5,7.3786,7.3786,6291.2,6291.2,-0.052429,-0.052429,6238,6238,-9.9118,-9.9118,6229,6229,2.0303,2.0303,14.656,14.658
