"N","Time","avg(qr)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(qr)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(qr)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(qr)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(qr)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(qr)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(qr)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
180,50,0,-2.0829e-09,-2.0829e-09,5193.5,5193.5,0,0.095809,0.095809,18881,18881,0,-0.00082899,-0.00082899,3124.5,3124.5,0,-0.097361,-0.097361,888.64,888.64,0,-0.0088407,-0.0088407,1367.1,1367.1,0,0.0087213,0.0087213,7010.7,7010.7,0,0.029814,0.029814,5113.7,5113.7,1
180,100,0,-1.6166e-09,-1.6166e-09,5678.4,5678.4,0,0.091569,0.091569,14258,14258,0,0.00022753,0.00022753,4236.5,4236.5,0,-0.078814,-0.078814,1924.1,1924.1,0,-0.011863,-0.011863,2510.5,2510.5,0,0.0094529,0.0094529,7887,7887,0,0.020228,0.020228,3899.6,3899.6,1
180,150,0,-1.1606e-09,-1.1606e-09,5910.7,5910.7,0,0.061029,0.061029,11854,11854,0,0.00046387,0.00046387,4745.2,4745.2,0,-0.060852,-0.060852,2857.1,2857.1,0,-0.012833,-0.012833,3358.1,3358.1,0,0.01339,0.01339,8364.1,8364.1,0,0.023702,0.023702,3018.5,3018.5,1
180,200,0,1.5854e-10,1.5854e-10,6045.3,6045.3,0,0.046732,0.046732,10415,10415,0,-0.00036358,-0.00036358,4963.1,4963.1,0,-0.038668,-0.038668,3568.6,3568.6,0,-0.012869,-0.012869,3953.1,3953.1,0,0.0125,0.0125,8275.9,8275.9,0,0.018823,0.018823,2396.9,2396.9,1
180,250,0,-3.5191e-10,-3.5191e-10,6129.7,6129.7,0,0.030112,0.030112,9467.3,9467.3,0,-0.00058488,-0.00058488,5373.6,5373.6,0,-0.026385,-0.026385,4062.9,4062.9,0,-0.0093431,-0.0093431,4347,4347,0,0.0087959,0.0087959,8048.5,8048.5,0,0.013355,0.013355,1952.7,1952.7,1
180,300,0,-1.4502e-09,-1.4444e-09,6184.1,6184.1,0,0.023983,0.023983,8805.9,8805.9,0,-0.00038675,-0.00038675,5791.4,5791.4,0,-0.022234,-0.022234,4385,4385,0,-0.0065661,-0.0065661,4580.7,4580.7,0,0.0062476,0.0062476,7812,7812,0,0.010839,0.010839,1626.2,1626.2,1
180,350,0,-6.0443e-10,-6.0443e-10,6219.5,6219.5,0,0.020959,0.020959,8325,8325,0,-0.00039656,-0.00039656,6048.4,6048.4,0,-0.019533,-0.019533,4584.8,4584.8,0,-0.0059789,-0.0059789,4770.8,4770.8,0,0.004947,0.004947,7599.9,7599.9,0,0.0097409,0.0097409,1377.5,1377.5,1
180,400,0,-7.7558e-09,-7.7558e-09,6242.2,6242.2,0,0.1092,0.1092,7963.9,7963.9,0,0.0013746,0.0013746,6202.3,6202.3,0,-0.11192,-0.11192,4696,4696,0,-0.025789,-0.025789,5030.6,5030.6,0,0.026869,0.026869,7417.2,7417.2,0,0.049873,0.049873,1181.2,1181.2,1
180,450,0,-6.9138e-10,-6.9138e-10,6256.3,6256.3,0,0.050423,0.050423,7685.3,7685.3,0,-0.00094844,-0.00094844,6291.7,6291.7,0,-0.049315,-0.049315,4785.3,4785.3,0,-0.020987,-0.020987,5239.4,5239.4,0,0.021606,0.021606,7261.6,7261.6,0,0.023776,0.023776,1021.3,1021.3,1
180,500,0,-7.2061e-10,-7.2116e-10,6264.7,6264.7,0,0.032363,0.032363,7465.2,7465.2,0,-0.00057829,-0.00057829,6340.6,6340.6,0,-0.032385,-0.032385,4894.3,4894.3,0,-0.0088952,-0.0088952,5406.4,5406.4,0,0.01046,0.01046,7129,7129,0,0.015535,0.015535,887.79,887.79,1
180,550,0,-6.6648e-10,-6.6648e-10,6269.3,6269.3,0,0.023004,0.023004,7287.8,7287.8,0,-0.00064753,-0.00064753,6364.5,6364.5,0,-0.0228,-0.0228,5012.3,5012.3,0,-0.0044301,-0.0044301,5540.3,5540.3,0,0.0062516,0.0062516,7015.5,7015.5,0,0.011855,0.011855,774.29,774.29,1
180,600,0,-6.6171e-11,-6.6171e-11,6271.4,6271.4,0,0.099532,0.099532,7142.2,7142.2,0,-0.0050404,-0.0050404,6373.2,6373.2,0,-0.086132,-0.086132,5131.7,5131.7,0,-0.033081,-0.033081,5648.5,5648.5,0,0.039058,0.039058,6917.8,6917.8,0,0.047612,0.047612,676.63,676.63,1
180,650,0,-7.3188e-10,-7.3188e-10,6271.9,6271.9,0,0.07981,0.07981,7021,7021,0,-0.0047122,-0.0047122,6372.8,6372.8,0,-0.079038,-0.079038,5247.7,5247.7,0,-0.030667,-0.030667,5736.8,5736.8,0,0.03474,0.03474,6833.4,6833.4,0,0.042308,0.042308,591.91,591.91,1
180,700,0,-1.5308e-09,-1.5308e-09,6271.4,6271.4,0,0.070641,0.070641,6918.7,6918.7,0,-0.0041242,-0.0041242,6367.2,6367.2,0,-0.069593,-0.069593,5357.4,5357.4,0,-0.027554,-0.027554,5809.8,5809.8,0,0.030454,0.030454,6760.2,6760.2,0,0.03706,0.03706,518.04,518.04,1
