"avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))"
8.4221,-36.292,6564.2,6573.7,851.17,848.91,13317,13320,-0.15617,-26.982,6191.7,6203.3,-789.45,-663.95,3203.5,3203.9,257.19,237.62,1956.8,1956.3
8.4221,-36.292,6564.2,6573.7,851.17,848.91,13317,13320,-0.15617,-26.982,6191.7,6203.3,-789.45,-663.95,3203.5,3203.9,257.19,237.62,1956.8,1956.3
8.4221,-36.292,6564.2,6573.7,851.17,848.91,13317,13320,-0.15617,-26.982,6191.7,6203.3,-789.45,-663.95,3203.5,3203.9,257.19,237.62,1956.8,1956.3
8.4221,-36.292,6564.2,6573.7,851.17,848.91,13317,13320,-0.15617,-26.982,6191.7,6203.3,-789.45,-663.95,3203.5,3203.9,257.19,237.62,1956.8,1956.3
8.4221,-36.292,6564.2,6573.7,851.17,848.91,13317,13320,-0.15617,-26.982,6191.7,6203.3,-789.45,-663.95,3203.5,3203.9,257.19,237.62,1956.8,1956.3
8.4221,-36.292,6564.2,6573.7,851.17,848.91,13317,13320,-0.15617,-26.982,6191.7,6203.3,-789.45,-663.95,3203.5,3203.9,257.19,237.62,1956.8,1956.3
8.4221,-36.292,6564.2,6573.7,851.17,848.91,13317,13320,-0.15617,-26.982,6191.7,6203.3,-789.45,-663.95,3203.5,3203.9,257.19,237.62,1956.8,1956.3
8.4221,-36.292,6564.2,6573.7,851.17,848.91,13317,13320,-0.15617,-26.982,6191.7,6203.3,-789.45,-663.95,3203.5,3203.9,257.19,237.62,1956.8,1956.3
8.4221,-36.292,6564.2,6573.7,851.17,848.91,13317,13320,-0.15617,-26.982,6191.7,6203.3,-789.45,-663.95,3203.5,3203.9,257.19,237.62,1956.8,1956.3
8.4221,-36.292,6564.2,6573.7,851.17,848.91,13317,13320,-0.15617,-26.982,6191.7,6203.3,-789.45,-663.95,3203.5,3203.9,257.19,237.62,1956.8,1956.3
